epoch, box_loss, cls_loss, loss
2,0.0022696257,0.85239905,1.0610625
3,0.0021336083,0.8729178,1.0747944
4,0.0022325227,0.7598341,0.9666603
5,0.002011888,0.581417,0.7772157
6,0.0017448481,0.58791155,0.77036035
7,0.0017960136,0.56414086,0.7491495
8,0.0017991506,0.5420759,0.72724146
9,0.0018652689,0.50808054,0.69655246
10,0.0019324634,0.51369077,0.70552397
11,0.0019519945,0.5170387,0.7098489
12,0.0020383422,0.51786005,0.71498764
13,0.0018652482,0.48613685,0.67460936
14,0.0017743707,0.49209777,0.6760256
15,0.0017751291,0.48994863,0.67391324
16,0.0017365824,0.48464525,0.66668135
17,0.001760901,0.48932645,0.67257637
18,0.0017644854,0.4956217,0.6790485
19,0.0017606128,0.50283056,0.6860615
20,0.0017181851,0.5125252,0.6936326
21,0.0017478891,0.51973486,0.7023249
22,0.0017712844,0.52234584,0.7061034
23,0.001760802,0.52038753,0.7036182
24,0.0017584938,0.51818067,0.7012936
25,0.0017278357,0.5218753,0.7034526
26,0.0017298859,0.52434206,0.70601946
27,0.0017401985,0.5254765,0.7076671
28,0.0017409179,0.5238956,0.7061199
29,0.0017376913,0.52383953,0.70589983
30,0.0017283256,0.5235147,0.705104
31,0.0017412162,0.5274976,0.70972884
32,0.0017455989,0.5289914,0.7114393
