id, class, score, x, y, w, h
1, truck,  88%, 565, 525, 198, 227
2, car,  87%, 558, 187, 107, 98
3, bus,  82%, 521, 42, 124, 114
4, car,  80%, 1771, 1026, 225, 94
5, bus,  80%, 250, 63, 111, 153
6, person,  79%, 1553, 390, 40, 79
7, person,  79%, 38, 220, 41, 87
8, car,  78%, 438, 250, 118, 98
9, bus,  78%, 599, 87, 132, 152
10, bus,  78%, 621, 30, 113, 95
11, car,  78%, 1908, 761, 91, 144
12, car,  77%, 621, 271, 133, 97
13, car,  77%, 1294, 652, 326, 285
14, car,  75%, 728, 380, 192, 155
15, car,  75%, 859, 509, 243, 215
16, car,  74%, 1087, 752, 431, 370
17, car,  73%, 519, 157, 79, 66
18, car,  72%, 1470, 625, 359, 222
19, truck,  70%, 699, 150, 223, 204
20, person,  68%, 1675, 415, 58, 79
21, person,  67%, 1767, 511, 66, 81
22, bicycle,  65%, 1150, 269, 56, 40
23, person,  62%, 1836, 481, 54, 89
24, person,  56%, 1312, 307, 24, 43
25, car,  54%, 356, 91, 51, 47
26, person,  51%, 1199, 217, 20, 53
27, person,  51%, 1146, 205, 16, 49
28, car,  49%, 141, 32, 55, 44
29, person,  49%, 983, 380, 43, 81
30, bus,  49%, 0, 40, 59, 180
31, car,  47%, 317, 21, 44, 37
32, car,  47%, 1017, 425, 255, 247
33, fire hydrant,  44%, 739, 500, 28, 54
34, person,  40%, 1706, 1, 87, 127
35, motorcycle,  39%, 977, 397, 64, 79
36, person,  37%, 1215, 222, 15, 46
37, person,  36%, 1351, 308, 22, 41
38, car,  35%, 334, 47, 43, 28
39, car,  35%, 769, 563, 20, 28
40, person,  35%, 1192, 206, 21, 57
41, person,  34%, 1362, 323, 26, 75
42, car,  34%, 482, 0, 39, 24
43, car,  33%, 1179, 694, 410, 329
44, traffic light,  33%, 1513, 230, 29, 35
45, person,  33%, 551, 264, 19, 36
46, traffic light,  32%, 1719, 278, 25, 30
47, bicycle,  32%, 1143, 260, 44, 35
48, person,  31%, 644, 375, 21, 53
49, person,  31%, 1124, 194, 11, 40
50, motorcycle,  31%, 1001, 414, 43, 70
51, stop sign,  30%, 67, 69, 30, 26
52, traffic light,  30%, 1586, 243, 22, 28
53, car,  29%, 1400, 248, 119, 80
54, person,  28%, 1318, 205, 24, 42
55, car,  28%, 338, 59, 41, 21
56, car,  28%, 1460, 613, 320, 137
57, car,  27%, 339, 67, 40, 23
58, person,  26%, 815, 85, 13, 38
59, person,  25%, 1189, 205, 15, 50
60, car,  25%, 1392, 645, 326, 229
61, person,  25%, 932, 88, 15, 39
62, car,  25%, 485, 184, 22, 34
63, car,  24%, 324, 37, 43, 32
64, car,  24%, 999, 351, 45, 19
65, truck,  24%, 1816, 598, 173, 105
66, traffic light,  24%, 1410, 255, 40, 48
67, person,  24%, 1371, 298, 20, 47
68, person,  24%, 807, 82, 13, 39
69, person,  23%, 1853, 482, 34, 64
70, person,  23%, 798, 427, 27, 28
71, person,  23%, 1112, 191, 19, 40
72, car,  23%, 1457, 610, 256, 87
73, car,  23%, 318, 280, 39, 28
74, car,  23%, 476, 180, 26, 32
75, motorcycle,  22%, 993, 411, 35, 60
76, person,  22%, 1174, 825, 40, 59
77, person,  21%, 821, 424, 36, 30
78, bicycle,  21%, 1362, 368, 27, 33
79, bicycle,  21%, 1113, 256, 67, 33
80, motorcycle,  21%, 990, 857, 47, 44
81, person,  20%, 992, 382, 33, 51
82, truck,  20%, 12, 797, 158, 309
83, car,  20%, 118, 24, 30, 39
84, car,  20%, 464, 163, 27, 31
85, person,  20%, 1597, 670, 32, 37
86, stop sign,  20%, 12, 507, 96, 80
87, car,  20%, 301, 0, 41, 26
88, car,  20%, 46, 62, 0, 50
89, car,  20%, 240, 0, 62, 43
