id, class, score, x, y, w, h
1, car,  86%, 577, 241, 71, 64
2, person,  84%, 834, 360, 37, 97
3, car,  84%, 593, 195, 47, 42
4, person,  83%, 888, 454, 50, 115
5, person,  82%, 274, 335, 27, 64
6, person,  80%, 137, 304, 24, 69
7, person,  80%, 208, 308, 25, 71
8, person,  76%, 820, 422, 37, 114
9, person,  76%, 187, 309, 22, 70
10, car,  75%, 118, 400, 271, 138
11, car,  74%, 530, 201, 41, 50
12, person,  74%, 477, 373, 36, 69
13, car,  74%, 385, 261, 74, 106
14, car,  71%, 610, 146, 40, 23
15, person,  70%, 157, 274, 22, 62
16, car,  69%, 475, 192, 39, 38
17, person,  69%, 300, 374, 29, 38
18, person,  68%, 334, 199, 17, 44
19, person,  67%, 807, 307, 26, 78
20, person,  66%, 766, 428, 37, 122
21, person,  66%, 189, 285, 20, 39
22, person,  65%, 225, 376, 28, 27
23, person,  64%, 832, 311, 27, 67
24, person,  63%, 741, 347, 25, 81
25, person,  63%, 467, 208, 14, 46
26, bicycle,  60%, 487, 415, 19, 45
27, person,  60%, 266, 303, 21, 64
28, person,  59%, 417, 194, 13, 35
29, person,  58%, 296, 285, 21, 45
30, person,  56%, 285, 307, 23, 56
31, person,  56%, 273, 234, 14, 50
32, car,  55%, 493, 168, 34, 43
33, person,  55%, 258, 390, 14, 15
34, backpack,  55%, 822, 444, 25, 34
35, person,  53%, 289, 240, 18, 42
36, person,  53%, 276, 385, 28, 22
37, car,  53%, 300, 350, 45, 41
38, person,  52%, 590, 134, 9, 28
39, person,  51%, 403, 508, 31, 59
40, person,  50%, 757, 246, 13, 47
41, person,  50%, 638, 151, 13, 35
42, person,  49%, 414, 198, 15, 46
43, person,  49%, 384, 192, 12, 36
44, person,  48%, 680, 202, 14, 35
45, handbag,  47%, 789, 317, 25, 30
46, clock,  47%, 840, 258, 28, 29
47, person,  46%, 307, 220, 14, 49
48, person,  46%, 258, 247, 20, 61
49, traffic light,  46%, 794, 88, 28, 45
50, backpack,  45%, 748, 325, 19, 27
51, person,  45%, 749, 303, 23, 36
52, person,  45%, 173, 306, 17, 60
53, person,  44%, 325, 384, 22, 32
54, person,  44%, 147, 281, 13, 35
55, person,  44%, 270, 287, 17, 27
56, handbag,  42%, 236, 348, 13, 22
57, handbag,  41%, 904, 476, 24, 40
58, person,  39%, 289, 276, 16, 30
59, person,  39%, 250, 310, 18, 67
60, person,  37%, 293, 367, 17, 29
61, person,  36%, 553, 155, 10, 27
62, person,  36%, 236, 306, 13, 49
63, person,  35%, 398, 190, 10, 36
64, person,  34%, 174, 300, 14, 36
65, person,  34%, 744, 315, 26, 51
66, person,  34%, 259, 237, 15, 43
67, umbrella,  34%, 816, 254, 31, 29
68, handbag,  34%, 226, 325, 11, 25
69, person,  32%, 480, 161, 9, 29
70, person,  32%, 504, 140, 9, 21
71, person,  32%, 401, 192, 10, 35
72, person,  32%, 406, 196, 11, 39
73, person,  30%, 551, 138, 9, 20
74, person,  30%, 434, 174, 12, 23
75, person,  30%, 737, 257, 12, 39
76, person,  30%, 286, 226, 11, 22
77, person,  29%, 263, 208, 0, 32
78, person,  29%, 291, 279, 23, 37
79, car,  29%, 402, 247, 53, 24
80, person,  28%, 241, 307, 23, 68
81, person,  28%, 430, 175, 17, 51
82, person,  28%, 551, 138, 11, 42
83, person,  28%, 428, 199, 8, 28
84, person,  27%, 720, 256, 12, 42
85, person,  27%, 410, 188, 11, 19
86, person,  27%, 271, 305, 26, 65
87, potted plant,  27%, 193, 201, 54, 91
88, person,  27%, 249, 296, 15, 28
89, person,  26%, 835, 308, 18, 24
90, person,  26%, 193, 308, 26, 72
91, handbag,  25%, 839, 328, 19, 28
92, traffic light,  25%, 809, 89, 15, 45
93, person,  25%, 298, 224, 10, 24
94, person,  25%, 290, 290, 24, 56
95, person,  24%, 435, 170, 11, 18
96, person,  24%, 336, 212, 19, 41
97, person,  24%, 644, 148, 10, 24
98, person,  24%, 395, 189, 8, 31
99, person,  24%, 506, 225, 8, 19
100, stop sign,  24%, 386, 144, 17, 42
