id, class, score, x, y, w, h
1, car,  87%, 558, 187, 107, 98
2, car,  80%, 1771, 1026, 225, 94
3, person,  79%, 1553, 390, 40, 79
4, person,  79%, 38, 220, 41, 87
5, car,  78%, 438, 250, 118, 98
6, car,  78%, 1908, 761, 91, 144
7, car,  77%, 621, 271, 133, 97
8, car,  77%, 1294, 652, 326, 285
9, car,  75%, 728, 380, 192, 155
10, car,  75%, 859, 509, 243, 215
11, car,  74%, 1087, 752, 431, 370
12, car,  73%, 519, 157, 79, 66
13, car,  72%, 1470, 625, 359, 222
14, person,  68%, 1675, 415, 58, 79
15, person,  67%, 1767, 511, 66, 81
16, person,  62%, 1836, 481, 54, 89
17, person,  56%, 1312, 307, 24, 43
18, car,  54%, 356, 91, 51, 47
19, person,  51%, 1199, 217, 20, 53
20, person,  51%, 1146, 205, 16, 49
21, car,  49%, 141, 32, 55, 44
22, person,  49%, 983, 380, 43, 81
23, car,  47%, 317, 21, 44, 37
24, car,  47%, 1017, 425, 255, 247
25, person,  40%, 1706, 1, 87, 127
26, person,  37%, 1215, 222, 15, 46
27, person,  36%, 1351, 308, 22, 41
28, car,  35%, 334, 47, 43, 28
29, car,  35%, 769, 563, 20, 28
30, person,  35%, 1192, 206, 21, 57
31, person,  34%, 1362, 323, 26, 75
32, car,  34%, 482, 0, 39, 24
33, car,  33%, 1179, 694, 410, 329
34, person,  33%, 551, 264, 19, 36
35, person,  31%, 644, 375, 21, 53
36, person,  31%, 1124, 194, 11, 40
37, car,  29%, 1400, 248, 119, 80
38, person,  28%, 1318, 205, 24, 42
39, car,  28%, 338, 59, 41, 21
40, car,  28%, 1460, 613, 320, 137
41, car,  27%, 339, 67, 40, 23
42, person,  26%, 815, 85, 13, 38
43, person,  25%, 1189, 205, 15, 50
44, car,  25%, 1392, 645, 326, 229
45, person,  25%, 932, 88, 15, 39
46, car,  25%, 485, 184, 22, 34
47, car,  24%, 324, 37, 43, 32
48, car,  24%, 999, 351, 45, 19
49, person,  24%, 1371, 298, 20, 47
50, person,  24%, 807, 82, 13, 39
51, person,  23%, 1853, 482, 34, 64
52, person,  23%, 798, 427, 27, 28
53, person,  23%, 1112, 191, 19, 40
54, car,  23%, 1457, 610, 256, 87
55, car,  23%, 318, 280, 39, 28
56, car,  23%, 476, 180, 26, 32
57, person,  22%, 1174, 825, 40, 59
58, person,  21%, 821, 424, 36, 30
59, person,  20%, 992, 382, 33, 51
60, car,  20%, 118, 24, 30, 39
61, car,  20%, 464, 163, 27, 31
62, person,  20%, 1597, 670, 32, 37
63, car,  20%, 301, 0, 41, 26
64, car,  20%, 46, 62, 0, 50
65, car,  20%, 240, 0, 62, 43
