id, class, score, x, y, w, h
1, car,  86%, 577, 241, 71, 64
2, person,  84%, 834, 360, 37, 97
3, car,  84%, 593, 195, 47, 42
4, person,  83%, 888, 454, 50, 115
5, person,  82%, 274, 335, 27, 64
6, person,  80%, 137, 304, 24, 69
7, person,  80%, 208, 308, 25, 71
8, person,  76%, 820, 422, 37, 114
9, person,  76%, 187, 309, 22, 70
10, car,  75%, 118, 400, 271, 138
11, car,  74%, 530, 201, 41, 50
12, person,  74%, 477, 373, 36, 69
13, car,  74%, 385, 261, 74, 106
14, car,  71%, 610, 146, 40, 23
15, person,  70%, 157, 274, 22, 62
16, car,  69%, 475, 192, 39, 38
17, person,  69%, 300, 374, 29, 38
18, person,  68%, 334, 199, 17, 44
19, person,  67%, 807, 307, 26, 78
20, person,  66%, 766, 428, 37, 122
21, person,  66%, 189, 285, 20, 39
22, person,  65%, 225, 376, 28, 27
23, person,  64%, 832, 311, 27, 67
24, person,  63%, 741, 347, 25, 81
25, person,  63%, 467, 208, 14, 46
26, person,  60%, 266, 303, 21, 64
27, person,  59%, 417, 194, 13, 35
28, person,  58%, 296, 285, 21, 45
29, person,  56%, 285, 307, 23, 56
30, person,  56%, 273, 234, 14, 50
31, car,  55%, 493, 168, 34, 43
32, person,  55%, 258, 390, 14, 15
33, person,  53%, 289, 240, 18, 42
34, person,  53%, 276, 385, 28, 22
35, car,  53%, 300, 350, 45, 41
36, person,  52%, 590, 134, 9, 28
37, person,  51%, 403, 508, 31, 59
38, person,  50%, 757, 246, 13, 47
39, person,  50%, 638, 151, 13, 35
40, person,  49%, 414, 198, 15, 46
41, person,  49%, 384, 192, 12, 36
42, person,  48%, 680, 202, 14, 35
43, person,  46%, 307, 220, 14, 49
44, person,  46%, 258, 247, 20, 61
45, person,  45%, 749, 303, 23, 36
46, person,  45%, 173, 306, 17, 60
47, person,  44%, 325, 384, 22, 32
48, person,  44%, 147, 281, 13, 35
49, person,  44%, 270, 287, 17, 27
50, person,  39%, 289, 276, 16, 30
51, person,  39%, 250, 310, 18, 67
52, person,  37%, 293, 367, 17, 29
53, person,  36%, 553, 155, 10, 27
54, person,  36%, 236, 306, 13, 49
55, person,  35%, 398, 190, 10, 36
56, person,  34%, 174, 300, 14, 36
57, person,  34%, 744, 315, 26, 51
58, person,  34%, 259, 237, 15, 43
59, person,  32%, 480, 161, 9, 29
60, person,  32%, 504, 140, 9, 21
61, person,  32%, 401, 192, 10, 35
62, person,  32%, 406, 196, 11, 39
63, person,  30%, 551, 138, 9, 20
64, person,  30%, 434, 174, 12, 23
65, person,  30%, 737, 257, 12, 39
66, person,  30%, 286, 226, 11, 22
67, person,  29%, 263, 208, 0, 32
68, person,  29%, 291, 279, 23, 37
69, car,  29%, 402, 247, 53, 24
70, person,  28%, 241, 307, 23, 68
71, person,  28%, 430, 175, 17, 51
72, person,  28%, 551, 138, 11, 42
73, person,  28%, 428, 199, 8, 28
74, person,  27%, 720, 256, 12, 42
75, person,  27%, 410, 188, 11, 19
76, person,  27%, 271, 305, 26, 65
77, person,  27%, 249, 296, 15, 28
78, person,  26%, 835, 308, 18, 24
79, person,  26%, 193, 308, 26, 72
80, person,  25%, 298, 224, 10, 24
81, person,  25%, 290, 290, 24, 56
82, person,  24%, 435, 170, 11, 18
83, person,  24%, 336, 212, 19, 41
84, person,  24%, 644, 148, 10, 24
85, person,  24%, 395, 189, 8, 31
86, person,  24%, 506, 225, 8, 19
