id, class, score, x, y, w, h
1, person,  95%, 61, 353, 53, 130
2, person,  91%, 523, 367, 50, 128
3, person,  91%, 476, 364, 45, 117
4, person,  88%, 417, 361, 37, 111
5, person,  85%, 293, 358, 31, 85
6, person,  84%, 522, 360, 15, 37
7, car,  83%, 168, 369, 65, 30
8, person,  82%, 10, 374, 45, 101
9, person,  81%, 571, 356, 49, 103
10, person,  80%, 327, 380, 42, 105
11, person,  80%, 260, 360, 22, 58
12, person,  71%, 113, 366, 25, 67
13, car,  70%, 708, 373, 253, 83
14, car,  70%, 131, 365, 41, 30
15, person,  68%, 396, 367, 18, 47
16, person,  66%, 384, 364, 13, 39
17, person,  66%, 236, 375, 20, 44
18, person,  64%, 629, 366, 28, 78
19, person,  64%, 751, 364, 13, 23
20, person,  61%, 673, 364, 12, 33
21, person,  60%, 695, 365, 20, 55
22, person,  55%, 944, 363, 20, 27
23, person,  52%, 609, 367, 24, 75
24, person,  49%, 43, 364, 10, 20
25, person,  49%, 1012, 355, 10, 32
26, person,  44%, 843, 363, 15, 14
27, person,  44%, 639, 363, 19, 40
28, person,  44%, 212, 361, 11, 18
29, person,  43%, 411, 369, 16, 46
30, person,  43%, 402, 367, 19, 48
31, person,  43%, 707, 362, 13, 34
32, person,  43%, 474, 359, 24, 48
33, person,  42%, 996, 360, 23, 62
34, person,  42%, 883, 363, 17, 34
35, person,  41%, 103, 365, 10, 28
36, person,  41%, 672, 366, 16, 46
37, person,  38%, 542, 359, 27, 45
38, person,  38%, 287, 363, 8, 25
39, person,  36%, 32, 364, 9, 18
40, person,  36%, 813, 362, 15, 13
41, person,  36%, 474, 359, 28, 95
42, person,  36%, 719, 363, 11, 27
43, person,  36%, 360, 381, 14, 33
44, person,  33%, 797, 361, 14, 15
45, person,  33%, 315, 354, 29, 109
46, person,  32%, 895, 364, 13, 29
47, person,  32%, 121, 362, 12, 31
48, person,  32%, 595, 360, 33, 89
49, person,  31%, 578, 131, 17, 27
50, person,  31%, 638, 364, 24, 61
51, person,  30%, 799, 361, 17, 39
52, person,  29%, 812, 363, 18, 36
53, person,  29%, 694, 369, 14, 29
54, person,  28%, 668, 382, 24, 34
55, person,  28%, 414, 370, 11, 30
56, person,  28%, 996, 361, 20, 33
57, person,  28%, 702, 362, 19, 51
58, person,  28%, 854, 364, 9, 15
59, person,  28%, 30, 363, 6, 19
60, person,  27%, 120, 362, 15, 52
61, person,  26%, 390, 365, 16, 46
62, person,  26%, 878, 363, 13, 28
63, person,  26%, 171, 361, 16, 13
64, person,  25%, 535, 362, 34, 73
65, person,  25%, 877, 364, 9, 21
66, person,  24%, 886, 364, 23, 36
67, person,  22%, 804, 362, 20, 38
68, person,  22%, 101, 363, 8, 23
69, person,  22%, 35, 363, 8, 17
70, person,  22%, 170, 366, 6, 9
71, person,  21%, 769, 366, 15, 26
72, person,  20%, 814, 363, 19, 18
73, person,  20%, 724, 364, 12, 24
74, person,  20%, 323, 355, 20, 40
75, person,  20%, 635, 365, 18, 33
76, person,  20%, 107, 365, 9, 20
