id, class, score, x, y, w, h
1, car,  90%, 1305, 611, 325, 281
2, car,  86%, 1566, 647, 334, 260
3, car,  84%, 1024, 376, 91, 93
4, car,  83%, 1173, 481, 140, 127
5, car,  83%, 1243, 897, 337, 183
6, car,  82%, 211, 635, 258, 197
7, car,  82%, 488, 872, 293, 205
8, car,  80%, 1107, 328, 69, 54
9, person,  79%, 1093, 472, 41, 72
10, car,  79%, 1172, 360, 110, 95
11, person,  78%, 1243, 686, 68, 126
12, car,  77%, 887, 403, 98, 110
13, person,  76%, 637, 463, 37, 86
14, person,  76%, 490, 625, 61, 105
15, person,  76%, 497, 796, 74, 178
16, person,  75%, 1143, 389, 27, 56
17, person,  75%, 813, 593, 55, 108
18, person,  74%, 1128, 552, 50, 99
19, person,  73%, 1085, 666, 71, 122
20, car,  72%, 881, 277, 42, 37
21, person,  71%, 318, 592, 40, 48
22, person,  70%, 680, 741, 73, 141
23, person,  70%, 803, 498, 40, 84
24, person,  70%, 493, 510, 46, 87
25, car,  70%, 910, 369, 76, 72
26, person,  69%, 738, 553, 45, 88
27, car,  68%, 941, 333, 55, 58
28, person,  68%, 580, 543, 48, 88
29, person,  68%, 667, 614, 51, 92
30, person,  67%, 875, 496, 39, 87
31, car,  66%, 1347, 502, 187, 146
32, person,  66%, 630, 565, 55, 103
33, person,  65%, 707, 655, 62, 130
34, person,  65%, 1396, 459, 40, 47
35, car,  64%, 863, 626, 199, 299
36, person,  64%, 1334, 454, 39, 66
37, car,  64%, 1046, 345, 64, 55
38, person,  63%, 1855, 272, 24, 57
39, person,  63%, 540, 649, 63, 94
40, car,  63%, 1016, 310, 57, 51
41, person,  62%, 306, 838, 88, 160
42, person,  62%, 840, 403, 33, 68
43, person,  62%, 1286, 471, 41, 91
44, person,  61%, 863, 313, 27, 52
45, person,  60%, 923, 309, 17, 45
46, car,  60%, 900, 224, 29, 25
47, person,  59%, 780, 296, 19, 43
48, person,  59%, 0, 682, 47, 137
49, person,  58%, 783, 701, 61, 77
50, car,  58%, 974, 239, 35, 28
51, person,  57%, 779, 419, 34, 70
52, person,  57%, 803, 315, 21, 49
53, person,  55%, 753, 454, 36, 65
54, person,  55%, 553, 705, 65, 123
55, person,  53%, 690, 505, 30, 84
56, person,  53%, 1604, 262, 25, 44
57, person,  53%, 840, 330, 19, 50
58, person,  51%, 1081, 312, 21, 41
59, person,  50%, 754, 616, 56, 76
60, person,  50%, 705, 294, 22, 45
61, car,  49%, 1320, 242, 64, 40
62, person,  47%, 458, 446, 42, 61
63, person,  46%, 869, 358, 24, 62
64, person,  46%, 842, 404, 31, 28
65, car,  45%, 944, 279, 58, 56
66, person,  44%, 823, 438, 35, 63
67, car,  44%, 1050, 233, 33, 33
68, person,  44%, 1764, 345, 40, 43
