id, class, score, x, y, w, h
1, car,  87%, 558, 187, 107, 98
2, car,  80%, 1771, 1026, 225, 94
3, car,  78%, 438, 250, 118, 98
4, car,  78%, 1908, 761, 91, 144
5, car,  77%, 621, 271, 133, 97
6, car,  77%, 1294, 652, 326, 285
7, car,  75%, 728, 380, 192, 155
8, car,  75%, 859, 509, 243, 215
9, car,  74%, 1087, 752, 431, 370
10, car,  73%, 519, 157, 79, 66
11, car,  72%, 1470, 625, 359, 222
12, car,  54%, 356, 91, 51, 47
13, car,  49%, 141, 32, 55, 44
14, car,  47%, 317, 21, 44, 37
15, car,  47%, 1017, 425, 255, 247
16, car,  35%, 334, 47, 43, 28
17, car,  35%, 769, 563, 20, 28
18, car,  34%, 482, 0, 39, 24
19, car,  33%, 1179, 694, 410, 329
20, car,  29%, 1400, 248, 119, 80
21, car,  28%, 338, 59, 41, 21
22, car,  28%, 1460, 613, 320, 137
23, car,  27%, 339, 67, 40, 23
24, car,  25%, 1392, 645, 326, 229
25, car,  25%, 485, 184, 22, 34
26, car,  24%, 324, 37, 43, 32
27, car,  24%, 999, 351, 45, 19
28, car,  23%, 1457, 610, 256, 87
29, car,  23%, 318, 280, 39, 28
30, car,  23%, 476, 180, 26, 32
31, car,  20%, 118, 24, 30, 39
32, car,  20%, 464, 163, 27, 31
33, car,  20%, 301, 0, 41, 26
34, car,  20%, 46, 62, 0, 50
35, car,  20%, 240, 0, 62, 43
