id, class, score, x, y, w, h
1, car,  90%, 1305, 611, 325, 281
2, car,  86%, 1566, 647, 334, 260
3, car,  84%, 1024, 376, 91, 93
4, car,  83%, 1173, 481, 140, 127
5, car,  83%, 1243, 897, 337, 183
6, car,  82%, 211, 635, 258, 197
7, car,  82%, 488, 872, 293, 205
8, car,  80%, 1107, 328, 69, 54
9, car,  79%, 1172, 360, 110, 95
10, car,  77%, 887, 403, 98, 110
11, car,  72%, 881, 277, 42, 37
12, car,  70%, 910, 369, 76, 72
13, car,  68%, 941, 333, 55, 58
14, car,  66%, 1347, 502, 187, 146
15, car,  64%, 863, 626, 199, 299
16, car,  64%, 1046, 345, 64, 55
17, car,  63%, 1016, 310, 57, 51
18, car,  60%, 900, 224, 29, 25
19, car,  58%, 974, 239, 35, 28
20, car,  49%, 1320, 242, 64, 40
21, car,  45%, 944, 279, 58, 56
22, car,  44%, 1050, 233, 33, 33
