id, class, score, x, y, w, h
1, person,  79%, 1553, 390, 40, 79
2, person,  79%, 38, 220, 41, 87
3, person,  68%, 1675, 415, 58, 79
4, person,  67%, 1767, 511, 66, 81
5, person,  62%, 1836, 481, 54, 89
6, person,  56%, 1312, 307, 24, 43
7, person,  51%, 1199, 217, 20, 53
8, person,  51%, 1146, 205, 16, 49
9, person,  49%, 983, 380, 43, 81
10, person,  40%, 1706, 1, 87, 127
11, person,  37%, 1215, 222, 15, 46
12, person,  36%, 1351, 308, 22, 41
13, person,  35%, 1192, 206, 21, 57
14, person,  34%, 1362, 323, 26, 75
15, person,  33%, 551, 264, 19, 36
16, person,  31%, 644, 375, 21, 53
17, person,  31%, 1124, 194, 11, 40
18, person,  28%, 1318, 205, 24, 42
19, person,  26%, 815, 85, 13, 38
20, person,  25%, 1189, 205, 15, 50
21, person,  25%, 932, 88, 15, 39
22, person,  24%, 1371, 298, 20, 47
23, person,  24%, 807, 82, 13, 39
24, person,  23%, 1853, 482, 34, 64
25, person,  23%, 798, 427, 27, 28
26, person,  23%, 1112, 191, 19, 40
27, person,  22%, 1174, 825, 40, 59
28, person,  21%, 821, 424, 36, 30
29, person,  20%, 992, 382, 33, 51
30, person,  20%, 1597, 670, 32, 37
