id, class, score, x, y, w, h
1, person,  84%, 834, 360, 37, 97
2, person,  83%, 888, 454, 50, 115
3, person,  82%, 274, 335, 27, 64
4, person,  80%, 137, 304, 24, 69
5, person,  80%, 208, 308, 25, 71
6, person,  76%, 820, 422, 37, 114
7, person,  76%, 187, 309, 22, 70
8, person,  74%, 477, 373, 36, 69
9, person,  70%, 157, 274, 22, 62
10, person,  69%, 300, 374, 29, 38
11, person,  68%, 334, 199, 17, 44
12, person,  67%, 807, 307, 26, 78
13, person,  66%, 766, 428, 37, 122
14, person,  66%, 189, 285, 20, 39
15, person,  65%, 225, 376, 28, 27
16, person,  64%, 832, 311, 27, 67
17, person,  63%, 741, 347, 25, 81
18, person,  63%, 467, 208, 14, 46
19, person,  60%, 266, 303, 21, 64
20, person,  59%, 417, 194, 13, 35
21, person,  58%, 296, 285, 21, 45
22, person,  56%, 285, 307, 23, 56
23, person,  56%, 273, 234, 14, 50
24, person,  55%, 258, 390, 14, 15
25, person,  53%, 289, 240, 18, 42
26, person,  53%, 276, 385, 28, 22
27, person,  52%, 590, 134, 9, 28
28, person,  51%, 403, 508, 31, 59
29, person,  50%, 757, 246, 13, 47
30, person,  50%, 638, 151, 13, 35
31, person,  49%, 414, 198, 15, 46
32, person,  49%, 384, 192, 12, 36
33, person,  48%, 680, 202, 14, 35
34, person,  46%, 307, 220, 14, 49
35, person,  46%, 258, 247, 20, 61
36, person,  45%, 749, 303, 23, 36
37, person,  45%, 173, 306, 17, 60
38, person,  44%, 325, 384, 22, 32
39, person,  44%, 147, 281, 13, 35
40, person,  44%, 270, 287, 17, 27
41, person,  39%, 289, 276, 16, 30
42, person,  39%, 250, 310, 18, 67
43, person,  37%, 293, 367, 17, 29
44, person,  36%, 553, 155, 10, 27
45, person,  36%, 236, 306, 13, 49
46, person,  35%, 398, 190, 10, 36
47, person,  34%, 174, 300, 14, 36
48, person,  34%, 744, 315, 26, 51
49, person,  34%, 259, 237, 15, 43
50, person,  32%, 480, 161, 9, 29
51, person,  32%, 504, 140, 9, 21
52, person,  32%, 401, 192, 10, 35
53, person,  32%, 406, 196, 11, 39
54, person,  30%, 551, 138, 9, 20
55, person,  30%, 434, 174, 12, 23
56, person,  30%, 737, 257, 12, 39
57, person,  30%, 286, 226, 11, 22
58, person,  29%, 263, 208, 0, 32
59, person,  29%, 291, 279, 23, 37
60, person,  28%, 241, 307, 23, 68
61, person,  28%, 430, 175, 17, 51
62, person,  28%, 551, 138, 11, 42
63, person,  28%, 428, 199, 8, 28
64, person,  27%, 720, 256, 12, 42
65, person,  27%, 410, 188, 11, 19
66, person,  27%, 271, 305, 26, 65
67, person,  27%, 249, 296, 15, 28
68, person,  26%, 835, 308, 18, 24
69, person,  26%, 193, 308, 26, 72
70, person,  25%, 298, 224, 10, 24
71, person,  25%, 290, 290, 24, 56
72, person,  24%, 435, 170, 11, 18
73, person,  24%, 336, 212, 19, 41
74, person,  24%, 644, 148, 10, 24
75, person,  24%, 395, 189, 8, 31
76, person,  24%, 506, 225, 8, 19
