id, class, score, x, y, w, h
1, person,  79%, 1093, 472, 41, 72
2, person,  78%, 1243, 686, 68, 126
3, person,  76%, 637, 463, 37, 86
4, person,  76%, 490, 625, 61, 105
5, person,  76%, 497, 796, 74, 178
6, person,  75%, 1143, 389, 27, 56
7, person,  75%, 813, 593, 55, 108
8, person,  74%, 1128, 552, 50, 99
9, person,  73%, 1085, 666, 71, 122
10, person,  71%, 318, 592, 40, 48
11, person,  70%, 680, 741, 73, 141
12, person,  70%, 803, 498, 40, 84
13, person,  70%, 493, 510, 46, 87
14, person,  69%, 738, 553, 45, 88
15, person,  68%, 580, 543, 48, 88
16, person,  68%, 667, 614, 51, 92
17, person,  67%, 875, 496, 39, 87
18, person,  66%, 630, 565, 55, 103
19, person,  65%, 707, 655, 62, 130
20, person,  65%, 1396, 459, 40, 47
21, person,  64%, 1334, 454, 39, 66
22, person,  63%, 1855, 272, 24, 57
23, person,  63%, 540, 649, 63, 94
24, person,  62%, 306, 838, 88, 160
25, person,  62%, 840, 403, 33, 68
26, person,  62%, 1286, 471, 41, 91
27, person,  61%, 863, 313, 27, 52
28, person,  60%, 923, 309, 17, 45
29, person,  59%, 780, 296, 19, 43
30, person,  59%, 0, 682, 47, 137
31, person,  58%, 783, 701, 61, 77
32, person,  57%, 779, 419, 34, 70
33, person,  57%, 803, 315, 21, 49
34, person,  55%, 753, 454, 36, 65
35, person,  55%, 553, 705, 65, 123
36, person,  53%, 690, 505, 30, 84
37, person,  53%, 1604, 262, 25, 44
38, person,  53%, 840, 330, 19, 50
39, person,  51%, 1081, 312, 21, 41
40, person,  50%, 754, 616, 56, 76
41, person,  50%, 705, 294, 22, 45
42, person,  47%, 458, 446, 42, 61
43, person,  46%, 869, 358, 24, 62
44, person,  46%, 842, 404, 31, 28
45, person,  44%, 823, 438, 35, 63
46, person,  44%, 1764, 345, 40, 43
