id, class, score, x, y, w, h
1, car,  90%, 1305, 611, 325, 281
2, car,  86%, 1566, 647, 334, 260
3, car,  84%, 1024, 376, 91, 93
4, car,  83%, 1173, 481, 140, 127
5, car,  83%, 1243, 897, 337, 183
6, car,  82%, 211, 635, 258, 197
7, car,  82%, 488, 872, 293, 205
8, motorcycle,  81%, 1231, 747, 88, 122
9, car,  80%, 1107, 328, 69, 54
10, person,  79%, 1093, 472, 41, 72
11, car,  79%, 1172, 360, 110, 95
12, person,  78%, 1243, 686, 68, 126
13, motorcycle,  78%, 1082, 716, 75, 126
14, motorcycle,  77%, 782, 752, 70, 104
15, car,  77%, 887, 403, 98, 110
16, person,  76%, 637, 463, 37, 86
17, person,  76%, 490, 625, 61, 105
18, person,  76%, 497, 796, 74, 178
19, bus,  76%, 786, 218, 92, 65
20, person,  75%, 1143, 389, 27, 56
21, person,  75%, 813, 593, 55, 108
22, person,  74%, 1128, 552, 50, 99
23, person,  73%, 1085, 666, 71, 122
24, car,  72%, 881, 277, 42, 37
25, person,  71%, 318, 592, 40, 48
26, motorcycle,  71%, 1, 866, 183, 180
27, person,  70%, 680, 741, 73, 141
28, person,  70%, 803, 498, 40, 84
29, person,  70%, 493, 510, 46, 87
30, car,  70%, 910, 369, 76, 72
31, person,  69%, 738, 553, 45, 88
32, car,  68%, 941, 333, 55, 58
33, motorcycle,  68%, 452, 415, 74, 43
34, person,  68%, 580, 543, 48, 88
35, person,  68%, 667, 614, 51, 92
36, person,  67%, 875, 496, 39, 87
37, motorcycle,  67%, 377, 522, 116, 70
38, bus,  67%, 586, 343, 157, 162
39, motorcycle,  67%, 668, 662, 49, 83
40, car,  66%, 1347, 502, 187, 146
41, person,  66%, 630, 565, 55, 103
42, person,  65%, 707, 655, 62, 130
43, person,  65%, 1396, 459, 40, 47
44, car,  64%, 863, 626, 199, 299
45, person,  64%, 1334, 454, 39, 66
46, car,  64%, 1046, 345, 64, 55
47, person,  63%, 1855, 272, 24, 57
48, person,  63%, 540, 649, 63, 94
49, motorcycle,  63%, 489, 684, 64, 92
50, motorcycle,  63%, 683, 806, 57, 78
51, car,  63%, 1016, 310, 57, 51
52, person,  62%, 306, 838, 88, 160
53, person,  62%, 840, 403, 33, 68
54, person,  62%, 1286, 471, 41, 91
55, motorcycle,  61%, 1096, 510, 33, 62
56, person,  61%, 863, 313, 27, 52
57, person,  60%, 923, 309, 17, 45
58, car,  60%, 900, 224, 29, 25
59, person,  59%, 780, 296, 19, 43
60, motorcycle,  59%, 819, 633, 47, 104
61, person,  59%, 0, 682, 47, 137
62, person,  58%, 783, 701, 61, 77
63, car,  58%, 974, 239, 35, 28
64, motorcycle,  58%, 1129, 601, 49, 75
65, person,  57%, 779, 419, 34, 70
66, motorcycle,  57%, 806, 539, 35, 63
67, motorcycle,  57%, 451, 473, 59, 46
68, person,  57%, 803, 315, 21, 49
69, person,  55%, 753, 454, 36, 65
70, motorcycle,  55%, 1334, 481, 38, 57
71, person,  55%, 553, 705, 65, 123
72, motorcycle,  55%, 1663, 319, 47, 45
73, motorcycle,  53%, 699, 536, 50, 65
74, motorcycle,  53%, 755, 484, 32, 55
75, person,  53%, 690, 505, 30, 84
76, person,  53%, 1604, 262, 25, 44
77, motorcycle,  53%, 396, 747, 79, 135
78, person,  53%, 840, 330, 19, 50
79, motorcycle,  53%, 590, 584, 36, 79
80, motorcycle,  52%, 907, 574, 45, 52
81, motorcycle,  51%, 541, 504, 60, 69
82, motorcycle,  51%, 1143, 414, 28, 45
83, person,  51%, 1081, 312, 21, 41
84, motorcycle,  51%, 500, 556, 36, 48
85, person,  50%, 754, 616, 56, 76
86, person,  50%, 705, 294, 22, 45
87, car,  49%, 1320, 242, 64, 40
88, person,  47%, 458, 446, 42, 61
89, motorcycle,  47%, 1755, 370, 52, 50
90, person,  46%, 869, 358, 24, 62
91, motorcycle,  46%, 1502, 287, 33, 38
92, motorcycle,  46%, 1532, 264, 47, 36
93, person,  46%, 842, 404, 31, 28
94, car,  45%, 944, 279, 58, 56
95, motorcycle,  45%, 879, 536, 38, 62
96, motorcycle,  45%, 637, 612, 39, 82
97, motorcycle,  44%, 1600, 274, 44, 35
98, person,  44%, 823, 438, 35, 63
99, car,  44%, 1050, 233, 33, 33
100, person,  44%, 1764, 345, 40, 43
